,,f-rice,f-rye,f-wheat-integral,f-wheat-white,g-amaranth,g-barley,g-buckwheat,g-oats,g-quinoa,g-rice,g-wheat-sprouted,d-eggs,d-milk-reduced-fat,d-milk-whole,d-milk-whole-vit-d,l-black-beans,l-chickpeas,l-lentils,l-lentils-sprouted,l-mung,l-mung-sprouted,l-peanuts,l-peas,n-almonds,n-brazilnuts,n-cashew,n-chia,n-flaxseed,n-pumpkin,n-sesame,n-sunflower,n-walnuts,o-canola,o-coconut,o-olive,o-sunflower,u-apple,u-avocado,u-banana,u-dates,u-grapes,u-guava,u-mango,u-olives,u-orange,u-papaya,u-persimmon,u-pineapple,u-raisins,u-tangerine,v-beet,v-broccoli,v-cabbage,v-cabbage-red,v-carrot,v-cauliflower,v-eggplant,v-garlic,v-green-beans,v-kale,v-okra,v-onion,v-peppers,v-potato,v-pumpkin,v-sweet-potato,v-tomato
energy,kcal,363,349,340,364,371,352,343,379,368,362,198,592,50,64,61,339,378,352,106,347,30,567,364,579,659,553,486,534,559,573,517,619,884,892,884,884,57,160,89,282,69,68,60,116,63,43,127,50,299,53,43,34,25,31,41,25,25,149,31,35,33,40,20,77,26,86,18
protein,g,7.23,10.88,13.21,10.33,13.56,9.91,13.25,13.15,14.12,7.50,7.49,48.05,3.30,3.28,3.15,21.25,20.47,24.63,8.96,23.86,3.04,25.80,23.12,21.15,14.32,18.22,16.54,18.29,30.23,17.73,16.18,24.06,0.00,0.00,0.00,0.00,0.25,2.00,1.09,2.45,0.72,2.55,0.82,0.84,1.30,0.47,0.80,0.54,3.30,0.81,1.61,2.82,1.28,1.43,0.93,1.92,0.98,6.36,1.83,2.92,1.93,1.10,0.86,2.05,1.00,1.57,0.88
total_fat,g,2.78,1.52,2.50,0.98,7.02,1.16,3.40,6.52,6.07,2.68,1.27,43.90,1.98,3.66,3.25,0.90,6.04,1.06,0.55,1.15,0.18,49.24,3.89,49.93,67.10,43.85,30.74,42.16,49.05,49.67,38.45,59.33,100.00,99.06,100.00,100.00,0.12,14.66,0.33,0.39,0.16,0.95,0.38,10.90,0.30,0.26,0.40,0.12,0.25,0.31,0.17,0.37,0.10,0.16,0.24,0.28,0.18,0.50,0.22,1.49,0.19,0.10,0.17,0.09,0.10,0.05,0.20
sat_fat,g,0.557,0.180,0.430,0.155,1.459,0.244,0.741,1.110,0.706,0.536,0.206,15.069,1.257,2.278,1.865,0.232,0.603,0.154,0.057,0.348,0.046,6.279,0.408,3.802,16.134,7.783,3.330,3.663,8.659,6.957,3.682,3.483,7.365,82.475,13.808,9.009,0.0,2.126,0.112,0.032,0.054,0.272,0.092,2.279,0.035,0.081,0.0,0.009,0.094,0.039,0.027,0.114,0.034,0.021,0.032,0.130,0.034,0.089,0.050,0.178,0.026,0.042,0.058,0.025,0.052,0.018,0.028
calcium,mg,11,24,34,15,159,29,18,52,47,33,28,244,120,119,113,160,57,35,25,132,13,92,46,269,160,37,631,255,46,975,78,61,0,1,1,0,7,12,5,39,10,18,11,88,70,20,27,13,62,37,16,47,40,45,33,22,9,181,37,254,82,23,10,12,21,30,10
iron,mg,1.98,2.54,3.60,4.64,7.61,2.50,2.20,4.25,4.57,1.80,2.14,7.20,0.02,0.05,0.03,8.70,4.31,6.51,3.21,6.74,0.91,4.58,4.73,3.71,2.43,6.68,7.72,5.73,8.82,14.55,4.90,3.12,0.00,0.05,0.56,0.03,0.12,0.55,0.26,1.02,0.36,0.26,0.16,6.28,0.80,0.25,2.50,0.29,1.79,0.15,0.80,0.73,0.47,0.80,0.30,0.42,0.23,1.70,1.03,1.60,0.62,0.21,0.34,0.81,0.80,0.61,0.27
magnesium,mg,112,63,137,22,248,79,231,138,197,143,82,34,11,13,10,160,79,47,37,189,21,168,63,270,376,292,335,392,592,351,353,201,0,0,0,0,5,29,27,43,7,22,10,4,14,21,0.0,12,36,12,23,21,12,16,12,15,14,25,25,33,57,10,10,23,12,25,11
phosphorus,mg,337,225,357,108,557,221,347,410,457,264,200,629,92,93,84,440,252,281,173,367,54,376,334,481,725,593,860,642,1233,629,644,513,0,0,0,0,11,52,22,62,20,40,14,3,22,10,26,8,98,20,40,66,26,30,35,44,24,153,38,55,61,29,20,57,44,47,24
potassium,mg,289,374,363,107,508,280,460,362,563,268,169,540,140,151,132,1500,718,677,322,1246,149,705,852,733,659,660,407,813,809,468,687,523,0,0,1,0,108,485,358,656,191,417,168,8,196,182,310,109,744,166,325,316,170,243,320,299,229,401,211,348,299,146,175,425,340,337,237
sodium,mg,8,2,2,2,4,9,1,6,5,4,16,476,47,49,43,9,24,6,11,15,6,18,5,1,3,12,16,30,7,11,3,2,0,0,2,0,1,7,1,2,2,2,1,735,2,8,1,1,26,2,78,33,18,27,69,30,2,17,6,53,7,4,3,6,1,55,5
zink,mg,2.45,2.17,2.60,0.70,2.87,2.13,2.40,3.64,3.10,2.02,1.65,3.15,0.48,0.38,0.37,2.20,2.76,3.27,1.51,2.68,0.41,3.27,3.49,3.12,4.06,5.78,4.58,4.34,7.81,7.75,5.05,3.37,0.00,0.02,0.00,0.00,0.05,0.64,0.15,0.29,0.07,0.23,0.09,0.22,0.11,0.08,0.0,0.12,0.36,0.07,0.35,0.41,0.18,0.22,0.24,0.27,0.16,1.16,0.24,0.39,0.58,0.17,0.13,0.30,0.32,0.30,0.17
vit_c,mg,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.2,1.5,0.0,0.0,4.0,4.5,16.5,4.8,13.2,0.0,1.8,0.0,0.7,0.5,1.6,0.6,1.9,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,10.0,8.7,0.4,3.2,228.3,36.4,0.9,71.0,60.9,66.0,47.8,2.3,26.7,4.9,89.2,36.6,57.0,5.9,48.2,2.2,31.2,12.2,93.4,23.0,7.4,80.4,19.7,9.0,2.4,13.7
thiamin,mg,0.443,0.287,0.502,0.785,0.116,0.191,0.101,0.460,0.360,0.413,0.225,0.183,0.039,0.038,0.046,0.900,0.477,0.873,0.228,0.621,0.084,0.640,0.719,0.205,0.617,0.423,0.620,1.644,0.273,0.791,1.163,0.057,0.000,0.000,0.000,0.000,0.017,0.067,0.031,0.052,0.069,0.067,0.028,0.003,0.100,0.023,0.0,0.079,0.106,0.058,0.031,0.071,0.061,0.064,0.066,0.050,0.039,0.200,0.082,0.113,0.200,0.046,0.057,0.081,0.050,0.078,0.037
riboflavin,mg,0.080,0.114,0.165,0.494,0.200,0.114,0.425,0.155,0.318,0.043,0.155,1.977,0.185,0.161,0.169,0.193,0.212,0.211,0.128,0.233,0.124,0.135,0.244,1.138,0.035,0.058,0.170,0.161,0.153,0.247,0.415,0.130,0.000,0.000,0.000,0.000,0.029,0.130,0.073,0.066,0.070,0.040,0.038,0.000,0.050,0.027,0.0,0.032,0.125,0.036,0.040,0.117,0.040,0.069,0.058,0.060,0.037,0.110,0.104,0.347,0.060,0.027,0.028,0.032,0.110,0.061,0.019
niacin,mg,6.340,1.727,4.957,5.904,0.923,4.604,7.020,1.125,1.520,4.308,3.087,0.340,0.092,0.084,0.089,1.955,1.541,2.605,1.128,2.251,0.749,12.066,3.608,3.618,0.295,1.062,8.830,3.080,4.987,4.515,2.284,0.470,0.000,0.000,0.000,0.000,0.075,1.738,0.665,1.274,0.188,1.084,0.669,0.037,0.500,0.357,0.0,0.500,0.766,0.376,0.334,0.639,0.234,0.418,0.983,0.507,0.649,0.700,0.734,1.180,1.000,0.116,0.480,1.061,0.600,0.557,0.594
vit_b6,mg,0.736,0.268,0.407,0.044,0.591,0.260,0.210,0.100,0.487,0.509,0.265,0.499,0.038,0.042,0.036,0.286,0.535,0.540,0.190,0.382,0.088,0.348,0.140,0.137,0.101,0.417,0.0,0.473,0.143,0.790,1.170,0.583,0.000,0.000,0.000,0.000,0.049,0.257,0.367,0.165,0.086,0.110,0.119,0.009,0.093,0.038,0.0,0.112,0.174,0.078,0.067,0.175,0.124,0.209,0.138,0.184,0.084,1.235,0.141,0.147,0.215,0.120,0.224,0.298,0.061,0.209,0.080
folate,µg,16,34,44,291,82,23,30,32,184,20,38,119,5,5,5,444,557,479,100,625,61,240,15,44,22,25,0.0,87,58,97,160,31,0,0,0,0,0.0,81,20,19,2,49,43,0,30,37,0.0,18,5,16,109,63,43,18,19,57,22,3,33,62,60,19,10,15,16,11,15
vit_b12,µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.96,0.53,0.36,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
vit_a,IU,0,0,9,0,2,22,0,0,14,0,0,1029,190,138,162,17,67,39,45,114,21,0,149,2,0,0,54,0,16,9,50,40,0,0,0,0,28,146,64,10,66,624,1082,330,250,950,0.0,58,0,681,33,623,98,1116,16706,0,23,9,690,4812,716,2,370,2,8513,14187,833
vit_e,mg,0.60,1.43,0.71,0.06,1.19,0.02,0.0,0.42,2.44,0.0,0.0,3.88,0.03,0.0,0.07,0.21,0.82,0.49,0.0,0.51,0.10,8.33,0.12,25.63,5.65,0.90,0.50,0.31,2.18,0.25,0.0,2.08,17.46,0.11,14.35,41.08,0.18,2.07,0.10,0.05,0.19,0.73,0.90,1.65,0.0,0.30,0.0,0.02,0.12,0.20,0.04,0.78,0.15,0.11,0.66,0.08,0.30,0.08,0.41,0.66,0.27,0.02,0.37,0.01,1.06,0.26,0.54
vit_d,IU,0,0,0,0,0,0,0,0,0,0,0,331,49,0.0,51,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vit_k,µg,0.0,5.9,1.9,0.3,0.0,2.2,0.0,2.0,0.0,0.0,0.0,1.2,0.2,0.0,0.3,5.6,9.0,5.0,0.0,9.0,33.0,0.0,15.9,0.0,0.0,34.1,0.0,4.3,7.3,0.0,0.0,2.7,71.3,0.6,60.2,5.4,1.3,21.0,0.5,2.7,14.6,2.6,4.2,1.4,0.0,2.6,0.0,0.7,3.5,0.0,0.2,101.6,76.0,38.2,13.2,15.5,3.5,1.7,43.0,389.6,31.3,0.4,7.4,2.0,1.1,1.8,7.9
